download_kbps,is_blacklisted,sim_mobile_carrier_id,network_mobile_carrier_id,raw_sim_carrier_id,raw_network_carrier_id
26974,0,3430.0,3430.0,1183,1183.0
1030,0,2709.0,,375,
26337,0,2709.0,2709.0,3390,3390.0
134,0,2709.0,2709.0,1123,3390.0
218,0,2709.0,,377,
38,0,2712.0,2712.0,1284,1284.0
722,0,3516.0,,650,
20366,0,3516.0,3516.0,548,548.0
7103,0,2709.0,2709.0,1326,1326.0
42907,0,3430.0,3430.0,2137,2137.0
1074,0,3516.0,,207,
404,0,3516.0,,650,
711,0,3516.0,3516.0,25,8811.0
2865,0,3430.0,3430.0,1137,1137.0
29840,0,3516.0,3516.0,354,354.0
38148,0,3430.0,3430.0,1137,1137.0
5580,0,2709.0,2709.0,4077,4077.0
9875,0,3516.0,,207,
481,0,,,732,732.0
10396,0,2709.0,2709.0,4945,543.0
22515,0,3925.0,3430.0,139338,1202.0
9114,0,3430.0,3430.0,986,986.0
17992,0,3474.0,2709.0,40039,3179.0
9917,0,3516.0,3516.0,143,143.0
3850,0,2715.0,,456,
7,0,2715.0,2715.0,525,525.0
4872,0,3430.0,3430.0,3097,1666.0
1096,0,3430.0,3430.0,1137,1137.0
682,0,3516.0,3516.0,25,25.0
3963,0,3516.0,3516.0,1218,1218.0
4975,0,2709.0,2709.0,3390,536.0
1020,0,2715.0,,1089,732.0
26201,0,2709.0,,346,
24528,0,3430.0,3430.0,2137,2137.0
1431,0,3474.0,3474.0,11230,570.0
10860,0,3516.0,,207,
29897,0,,,732,732.0
97,0,3430.0,3430.0,1288,2232.0
2928,0,3516.0,,1215,732.0
9128,0,2709.0,2709.0,494,1686.0
7400,0,2699.0,2699.0,426,426.0
2131,0,3474.0,3474.0,5317,1010.0
2502,0,2709.0,,569,
320,0,3430.0,3430.0,1922,1922.0
29808,0,3516.0,3516.0,354,354.0
420,0,2709.0,2709.0,1384,1384.0
3033,0,3430.0,3430.0,1137,1137.0
5755,0,3923.0,3430.0,149636,706.0
30381,0,3516.0,,650,
24484,0,3516.0,2709.0,31740,494.0
1800,0,3925.0,3925.0,139282,139282.0
404,0,,,732,732.0
8207,0,2699.0,,3591,
9793,0,,3828.0,4045,191.0
4330,0,3430.0,3430.0,1142,1142.0
2028,0,3516.0,3516.0,1452,1452.0
4739,0,3516.0,3516.0,1096,1096.0
6894,0,2715.0,2715.0,1213,1213.0
5639,0,3516.0,3516.0,548,548.0
1024,0,2709.0,2709.0,4945,4945.0
552,0,2709.0,2715.0,35769,835.0
451,0,2699.0,2699.0,1421,1421.0
7750,0,2709.0,2709.0,4945,4945.0
740,0,3516.0,3516.0,354,354.0
1501,0,3516.0,,1254,
2149,0,3516.0,3516.0,548,548.0
13240,0,3516.0,3516.0,354,354.0
8365,0,2709.0,2709.0,3390,3390.0
24713,0,2709.0,2709.0,1123,1123.0
603,0,3516.0,,207,
4223,0,3516.0,3516.0,692,1210.0
2439,0,2709.0,2709.0,494,60916.0
2073,0,3516.0,3516.0,548,548.0
10098,0,2709.0,2709.0,4945,4945.0
891,0,3474.0,3474.0,9753,1523.0
3514,0,3516.0,3516.0,143,143.0
913,0,3474.0,3474.0,3842,3842.0
602,0,2709.0,2709.0,494,494.0
9763,0,3430.0,3430.0,1682,1137.0
4826,0,3516.0,,257,
19696,0,3516.0,3516.0,548,548.0
1053,0,2715.0,2715.0,1089,1089.0
15474,0,3923.0,2709.0,148671,1216.0
1607,0,2711.0,2711.0,1295,1295.0
3023,0,3430.0,3430.0,986,986.0
721,0,3474.0,3474.0,11230,1211.0
1680,0,2709.0,2709.0,1326,1326.0
1079,0,3430.0,3430.0,1288,2232.0
